PICKUP_FILTER_TITLE	Dropeinstellungen
PICKUP_FILTER_MODE_LABEL	Modus:
PICKUP_FILTER_MODE_SINGLE_LABEL	Einzeln einsammeln
PICKUP_FILTER_MODE_ALL_LABEL	Alles einsammeln
PICKUP_FILTER_IGNORE_LABEL	Ignorieren:
PICKUP_FILTER_IGNORE_WEAPON_LABEL	Waffen
PICKUP_FILTER_IGNORE_ARMOR_LABEL	Rüstungen
PICKUP_FILTER_IGNORE_HEAD_LABEL	Helme
PICKUP_FILTER_IGNORE_SHIELD_LABEL	Schilder
PICKUP_FILTER_IGNORE_WRIST_LABEL	Armbänder
PICKUP_FILTER_IGNORE_FOOTS_LABEL	Schuhe
PICKUP_FILTER_IGNORE_NECK_LABEL	Halsketten
PICKUP_FILTER_IGNORE_EAR_LABEL	Ohrringe
PICKUP_FILTER_IGNORE_ETC_LABEL	Sonstiges
DESTROY	Zerstören
AUTOREFINE	Fenster offen lassen
OPTION_TILING	Grafikspeicher
OPTION_TILING_APPLY	Anwenden
OPTION_TILING_CPU	CPU
OPTION_TILING_GPU	GPU
INVENTORY_SORT	Inventory sort
SPECIAL_INVENTORY_SKILLBOOK_TITLE	Shinings
SPECIAL_INVENTORY_STONE_TITLE	Stones
SPECIAL_INVENTORY_MATERIAL_TITLE	Materials
PINCODE_CREATE	Create your own pincode:
PINCODE_CONFIRM	confirm
PINCODE_CANCEL	cancel
PINCODE_GO	continue
PINCODE_INSERT	Please enter your pincode!
PINCODE_INPUT_MIN	Your pincode needs 4 diggits.
PINCODE_NOINPUT	You've entered no pincode!
PINCODE_NOINPUT_BOTH	In one of both fields is no input.
PINCODE_INPUT_NEQUAL	The fields are not equal.
OPTION_MOB_EFFECTS	Mob-Effects
OPTION_SKILL_EFFECTS	Skill-Effects
OPTION_BUFF_EFFECTS	Buff-Effects
OPTION_RENDER_PREVIEW	Preview
skillchoose_text	Choose your training
skillchoose_cancel	Cancel
skillchoose_warrior1	Body
skillchoose_warrior2	Mental
skillchoose_ninja1	Blade
skillchoose_ninja2	Archery
skillchoose_sura1	Weaponary
skillchoose_sura2	Black Magic
skillchoose_shaman1	Dragon Force
skillchoose_shaman2	Healing Force
skillchoose_wolfman1	Lycan
dynastyduell_title	Dynasty Duellstatus System
dynastyduell_choosetext	Setze deinen Status:
dynastyduell_choosebutton	Setzen
dynastyduell_previewbutton	Vorschau
dynastyduell_cancelbutton	Abbruch
dynastyduell_needtext	Wird benötigt
dynastyduell_settings_title	Dyn.Status
dynastyduell_settings_hide	ausblenden
dynastyduell_settings_show	einblenden
LOGIN_INTERFACE_NOSAVED_ACC	In this saved slot is no account!
LOGIN_INTERFACE_FREE_SPACE	Free Saveslot
LOGIN_INTERFACE_PASTE_ID	Please paste your ID!
LOGIN_INTERFACE_PASTE_PW	Please paste your password!
LOGIN_INTERFACE_NO_SLOT_FREE	There is no slot to save free!
LOGIN_INTERFACE_SAVED	Your login data was saved!
LOGIN_INTERFACE_DELETED	deleted.
LOGIN_INTERFACE_ALREADY_EMPTY	is already empty!
SYSTEM_SWITCH_CHANNEL	Switch channel 
SHOW_COSTUME	Show
HIDE_COSTUME	Hide
OPTION_MODDEDSKILLS	Modded-Skills
